claim_id,location,claim_type,value_paper,digits,needs_block,claim,notes
abstract_n_replications,"Abstract, p. 1",structural,15,0,TRUE,Replication experiments the article reports,
intro_mullinix_experiments,"Introduction, p. 2",transcribed,20,0,FALSE,Experiments replicated by Mullinix et al. (2015),A property of the cited study
intro_mullinix_correlation,"Introduction, p. 2",transcribed,0.75,2,FALSE,Cross-sample correlation reported by Mullinix et al. (2015),Obtained by the article from private correspondence with those authors
intro_krupnikov_correlation,"Introduction, p. 2",transcribed,0.41,2,FALSE,MTurk-YouGov correlation in Krupnikov and Levine (2014),Recomputed by the article from data those authors shared; the deposit carries none of it
intro_n_pairs,"Introduction, p. 2",pipeline,40,0,TRUE,Pairs of average treatment effect estimates entering the MTurk-original correlation,
intro_n_study_pairs,"Introduction, p. 2",structural,12,0,TRUE,Study pairs the 40 estimate pairs come from,
intro_correlation,"Introduction, p. 2",pipeline,0.85,2,TRUE,Correlation between the MTurk and original estimates,
intro_df,"Introduction, p. 2",definitional,38,0,TRUE,"Degrees of freedom of that correlation, two fewer than the number of pairs",
intro_n_replication_studies,"Introduction, p. 2",structural,15,0,TRUE,Replication studies the results section presents,
theory_scenarios,"Treatment Effect Heterogeneity, p. 3",structural,2,0,FALSE,Scenarios contrasted in Figure 1,"No script in the deposit and none in the rewrite draws Figure 1, which is a stipulated illustration rather than an analysis of the study data"
fig1_sate_scenario1,"Figure 1, p. 4",definitional,-0.57,2,FALSE,Sample average treatment effect printed in the heterogeneous-effects panel,"No script in the deposit and none in the rewrite draws Figure 1, which is a stipulated illustration rather than an analysis of the study data"
fig1_pate_scenario1,"Figure 1, p. 4",definitional,0.50,2,FALSE,Population average treatment effect printed in the heterogeneous-effects panel,"No script in the deposit and none in the rewrite draws Figure 1, which is a stipulated illustration rather than an analysis of the study data"
fig1_sate_scenario2,"Figure 1, p. 4",definitional,0.50,2,FALSE,Sample average treatment effect printed in the homogeneous-effects panel,"No script in the deposit and none in the rewrite draws Figure 1, which is a stipulated illustration rather than an analysis of the study data"
fig1_pate_scenario2,"Figure 1, p. 4",definitional,0.50,2,FALSE,Population average treatment effect printed in the homogeneous-effects panel,"No script in the deposit and none in the rewrite draws Figure 1, which is a stipulated illustration rather than an analysis of the study data"
fig1_sampling_threshold,"Figure 1 axis label, p. 4",definitional,1/3,0,FALSE,Threshold on the unobserved characteristic below which units are sampled,"No script in the deposit and none in the rewrite draws Figure 1, which is a stipulated illustration rather than an analysis of the study data"
fig1_axis_ticks,"Figure 1, p. 4",structural,,,FALSE,Axis tick labels of the two Figure 1 panels,"The panels' coordinate system rather than a claim about data; No script in the deposit and none in the rewrite draws Figure 1, which is a stipulated illustration rather than an analysis of the study data"
theory_four_points,"Treatment Effect Heterogeneity, p. 4",structural,4,0,FALSE,Points the article says Figure 1 illustrates,The four numbered observations in the paragraph that follows
t1_estimates_concealed_carry,"Table 1, p. 5",pipeline,1,0,TRUE,Treatment effect estimates reported for Haider-Markel and Joslyn (2001),
t1_n_original_concealed_carry,"Table 1, p. 5",pipeline,518,0,FALSE,Subjects in the original Haider-Markel and Joslyn (2001) analysis,"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_n_mt_concealed_carry,"Table 1, p. 5",pipeline,1009,0,FALSE,Subjects in the MTurk replication of Haider-Markel and Joslyn (2001),"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_frame_year_concealed_carry,"Table 1, p. 5",definitional,1999,0,FALSE,Year the original Haider-Markel and Joslyn (2001) study was fielded,Stated in the sampling-frame column; the deposited data carry no fielding date
t1_estimates_immigration,"Table 1, p. 5",pipeline,2,0,TRUE,Treatment effect estimates reported for Brader (2005),
t1_n_original_immigration,"Table 1, p. 5",pipeline,281,0,FALSE,Subjects in the original Brader (2005) analysis,"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_n_mt_immigration,"Table 1, p. 5",pipeline,1709,0,FALSE,Subjects in the MTurk replication of Brader (2005),"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_frame_year_immigration,"Table 1, p. 5",definitional,2003,0,FALSE,Year the original Brader (2005) study was fielded,Stated in the sampling-frame column; the deposited data carry no fielding date
t1_estimates_death_penalty,"Table 1, p. 5",pipeline,1,0,TRUE,Treatment effect estimates reported for Peffley and Hurwitz (2007),
t1_n_original_death_penalty,"Table 1, p. 5",pipeline,905,0,FALSE,Subjects in the original Peffley and Hurwitz (2007) analysis,"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_n_mt_death_penalty,"Table 1, p. 5",pipeline,1285,0,FALSE,Subjects in the MTurk replication of Peffley and Hurwitz (2007),"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_frame_year_death_penalty,"Table 1, p. 5",definitional,2000-2001,0,FALSE,Year the original Peffley and Hurwitz (2007) study was fielded,Stated in the sampling-frame column; the deposited data carry no fielding date
t1_estimates_superordinate_id,"Table 1, p. 5",pipeline,2,0,TRUE,Treatment effect estimates reported for Transue (2007),
t1_n_original_superordinate_id,"Table 1, p. 5",pipeline,345,0,FALSE,Subjects in the original Transue (2007) analysis,"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_n_mt_superordinate_id,"Table 1, p. 5",pipeline,367,0,FALSE,Subjects in the MTurk replication of Transue (2007),"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_frame_year_superordinate_id,"Table 1, p. 5",definitional,1998,0,FALSE,Year the original Transue (2007) study was fielded,Stated in the sampling-frame column; the deposited data carry no fielding date
t1_estimates_patriot_act,"Table 1, p. 5",pipeline,9,0,TRUE,Treatment effect estimates reported for Chong and Druckman (2010),
t1_n_original_patriot_act,"Table 1, p. 5",pipeline,1302,0,FALSE,Subjects in the original Chong and Druckman (2010) analysis,"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_n_mt_patriot_act,"Table 1, p. 5",pipeline,1887,0,FALSE,Subjects in the MTurk replication of Chong and Druckman (2010),"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_frame_year_patriot_act,"Table 1, p. 5",definitional,2009,0,FALSE,Year the original Chong and Druckman (2010) study was fielded,Stated in the sampling-frame column; the deposited data carry no fielding date
t1_estimates_elite_endorsements,"Table 1, p. 5",pipeline,2,0,TRUE,Treatment effect estimates reported for Nicholson (2012),
t1_n_original_elite_endorsements,"Table 1, p. 5",pipeline,1491,0,FALSE,Subjects in the original Nicholson (2012) analysis,"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_n_mt_elite_endorsements,"Table 1, p. 5",pipeline,1249,0,FALSE,Subjects in the MTurk replication of Nicholson (2012),"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_frame_year_elite_endorsements,"Table 1, p. 5",definitional,2008,0,FALSE,Year the original Nicholson (2012) study was fielded,Stated in the sampling-frame column; the deposited data carry no fielding date
t1_estimates_mental_illness,"Table 1, p. 5",pipeline,6,0,TRUE,"Treatment effect estimates reported for McGinty, Webster and Barry (2013)",
t1_n_original_mental_illness,"Table 1, p. 5",pipeline,2935,0,FALSE,"Subjects in the original McGinty, Webster and Barry (2013) analysis","The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_n_mt_mental_illness,"Table 1, p. 5",pipeline,2487,0,FALSE,"Subjects in the MTurk replication of McGinty, Webster and Barry (2013)","The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_frame_year_mental_illness,"Table 1, p. 5",definitional,2012,0,FALSE,"Year the original McGinty, Webster and Barry (2013) study was fielded",Stated in the sampling-frame column; the deposited data carry no fielding date
t1_estimates_system_threat,"Table 1, p. 5",pipeline,2,0,TRUE,Treatment effect estimates reported for Craig and Richeson (2014),
t1_n_original_system_threat,"Table 1, p. 5",pipeline,611,0,FALSE,Subjects in the original Craig and Richeson (2014) analysis,"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_n_mt_system_threat,"Table 1, p. 5",pipeline,709,0,FALSE,Subjects in the MTurk replication of Craig and Richeson (2014),"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_frame_year_system_threat,"Table 1, p. 5",definitional,2012,0,FALSE,Year the original Craig and Richeson (2014) study was fielded,Stated in the sampling-frame column; the deposited data carry no fielding date
t1_estimates_expert_economists,"Table 1, p. 5",pipeline,5,0,TRUE,Treatment effect estimates reported for Johnston and Ballard (2016),
t1_n_original_expert_economists,"Table 1, p. 5",pipeline,2041,0,FALSE,Subjects in the original Johnston and Ballard (2016) analysis,"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_n_mt_expert_economists,"Table 1, p. 5",pipeline,2985,0,FALSE,Subjects in the MTurk replication of Johnston and Ballard (2016),"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_frame_year_expert_economists,"Table 1, p. 5",definitional,2013,0,FALSE,Year the original Johnston and Ballard (2016) study was fielded,Stated in the sampling-frame column; the deposited data carry no fielding date
t1_estimates_free_trade,"Table 1, p. 5",pipeline,4,0,TRUE,Treatment effect estimates reported for Hiscox (2006),
t1_n_original_free_trade,"Table 1, p. 5",pipeline,1610,0,FALSE,Subjects in the original Hiscox (2006) analysis,"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_n_mt_free_trade,"Table 1, p. 5",pipeline,2972,0,FALSE,Subjects in the MTurk replication of Hiscox (2006),"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_n_gfk_free_trade,"Table 1, p. 5",pipeline,2084,0,FALSE,Subjects in the TESS/GfK replication of Hiscox (2006),"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_frame_year_free_trade,"Table 1, p. 5",definitional,2003,0,FALSE,Year the original Hiscox (2006) study was fielded,Stated in the sampling-frame column; the deposited data carry no fielding date
t1_estimates_polarization,"Table 1, p. 5",pipeline,2,0,TRUE,Treatment effect estimates reported for Levendusky and Malhotra (2016),
t1_n_original_polarization,"Table 1, p. 5",pipeline,1041,0,FALSE,Subjects in the original Levendusky and Malhotra (2016) analysis,"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_n_mt_polarization,"Table 1, p. 5",pipeline,1987,0,FALSE,Subjects in the MTurk replication of Levendusky and Malhotra (2016),"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_n_gfk_polarization,"Table 1, p. 5",pipeline,1411,0,FALSE,Subjects in the TESS/GfK replication of Levendusky and Malhotra (2016),"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_frame_year_polarization,"Table 1, p. 5",definitional,2012,0,FALSE,Year the original Levendusky and Malhotra (2016) study was fielded,Stated in the sampling-frame column; the deposited data carry no fielding date
t1_estimates_frame_breadth,"Table 1, p. 5",pipeline,4,0,TRUE,Treatment effect estimates reported for Hopkins and Mummolo (2017),
t1_n_original_frame_breadth,"Table 1, p. 5",pipeline,3269,0,FALSE,Subjects in the original Hopkins and Mummolo (2017) analysis,"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_n_mt_frame_breadth,"Table 1, p. 5",pipeline,2972,0,FALSE,Subjects in the MTurk replication of Hopkins and Mummolo (2017),"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_n_gfk_frame_breadth,"Table 1, p. 5",pipeline,3189,0,FALSE,Subjects in the TESS/GfK replication of Hopkins and Mummolo (2017),"The maintained rewrite's analysis scripts export estimates only, so nothing in maintained/output/ carries an analysis sample size; the deposited appendix script prints one"
t1_frame_year_frame_breadth,"Table 1, p. 5",definitional,2011,0,FALSE,Year the original Hopkins and Mummolo (2017) study was fielded,Stated in the sampling-frame column; the deposited data carry no fielding date
results_heading_studies,"Results I heading, p. 5",structural,12,0,TRUE,Survey experiments the replication section covers,
results_first_batch,"Results I, p. 5",structural,5,0,FALSE,Studies in the first batch selected for replication,"Spelled out as ""five""; named individually in the same sentence"
results_selection_reasons,"Results I, p. 5",structural,3,0,FALSE,Reasons given for selecting the first batch,"Spelled out as ""three""; the three sentences that follow"
results_second_batch,"Results I, p. 5",structural,7,0,FALSE,"Studies in the second batch, from the TESS collaboration","Spelled out as ""seven"""
results_selected_seven,"Results I, p. 5",structural,7,0,FALSE,TESS studies selected,"Spelled out as ""seven""; restated"
results_mturk_only,"Results I, pp. 5-6",structural,4,0,FALSE,TESS studies replicated on MTurk alone,"Spelled out as ""four""; named individually in the same sentence"
results_both_platforms,"Results I, pp. 5-6",structural,3,0,TRUE,TESS studies replicated both on MTurk and on TESS/GfK,
results_three_cases,"Results I, p. 5",structural,3,0,TRUE,Cases replicated with fresh nationally representative samples,
results_two_batches,"Results I, p. 5",structural,2,0,FALSE,Batches the replications came in,"Spelled out as ""two"""
results_kansans_year,"Results I, p. 5",definitional,1999,0,FALSE,Year of the Haider-Markel and Joslyn target population,Restates the Table 1 sampling frame
results_none_in_mullinix,"Results I, p. 6",structural,0,0,FALSE,TESS studies replicated here that were also in Mullinix et al. (2015),"Stated as ""none of the seven""; a property of the other article's study list"
